"purchases","country","name","genre_id","rowno"
"2","Finland","Latin","7","8"
"2","Finland","R&B/Soul","14","9"
"2","Finland","Alternative","23","10"
"1","Finland","Easy Listening","12","11"
"1","Finland","Soundtrack","10","12"
"1","Finland","Electronica/Dance","15","13"
"211","France","Rock","1","1"
"54","France","Metal","3","2"
"29","France","Easy Listening","12","3"
"27","France","Latin","7","4"
"24","France","Alternative & Punk","4","5"
"10","France","Blues","6","6"
"8","France","R&B/Soul","14","7"
"8","France","Reggae","8","8"
"7","France","Alternative","23","9"
"5","France","Pop","9","10"
"4","France","Jazz","2","11"
"2","France","Classical","24","12"
"2","France","Hip Hop/Rap","17","13"
"2","France","Electronica/Dance","15","14"
"194","Germany","Rock","1","1"
"44","Germany","Metal","3","2"
"18","Germany","Jazz","2","3"
"18","Germany","Alternative & Punk","4","4"
"15","Germany","Pop","9","5"
"11","Germany","R&B/Soul","14","6"
"8","Germany","Blues","6","7"
"8","Germany","Latin","7","8"
"7","Germany","Alternative","23","9"
"4","Germany","Easy Listening","12","10"
"4","Germany","Electronica/Dance","15","11"
"4","Germany","Classical","24","12"
"2","Germany","Hip Hop/Rap","17","13"
"1","Germany","Reggae","8","14"
"44","Hungary","Rock","1","1"
"19","Hungary","Metal","3","2"
"8","Hungary","Alternative & Punk","4","3"
"1","Hungary","Latin","7","4"
"1","Hungary","Classical","24","5"
"1","Hungary","Heavy Metal","13","6"
"1","Hungary","Electronica/Dance","15","7"
"1","Hungary","Alternative","23","8"
"1","Hungary","Easy Listening","12","9"
"1","Hungary","Reggae","8","10"
"1","Hungary","Drama","21","11"
"102","India","Rock","1","1"
"25","India","Alternative & Punk","4","2"
"22","India","Metal","3","3"
"19","India","Electronica/Dance","15","4"
"6","India","Latin","7","5"
"3","India","Alternative","23","6"
"3","India","R&B/Soul","14","7"
"2","India","Classical","24","8"
"2","India","Jazz","2","9"
"1","India","Hip Hop/Rap","17","10"
"72","Ireland","Rock","1","1"
"20","Ireland","Latin","7","2"
"7","Ireland","Alternative & Punk","4","3"
"6","Ireland","Metal","3","4"
"4","Ireland","R&B/Soul","14","5"
"1","Ireland","Classical","24","6"
"1","Ireland","TV Shows","19","7"
"1","Ireland","Hip Hop/Rap","17","8"
"1","Ireland","Alternative","23","9"
"1","Ireland","Pop","9","10"
"1","Ireland","Blues","6","11"
"1","Ireland","Reggae","8","12"
"35","Italy","Rock","1","1"
"5","Italy","Alternative & Punk","4","2"
"4","Italy","Metal","3","3"
"1","Italy","Latin","7","4"
"1","Italy","Jazz","2","5"
"1","Italy","Blues","6","6"
"1","Italy","R&B/Soul","14","7"
"1","Italy","Pop","9","8"
"1","Italy","Easy Listening","12","9"
"1","Italy","Alternative","23","10"
"33","Netherlands","Rock","1","1"
"12","Netherlands","R&B/Soul","14","2"
"5","Netherlands","Metal","3","3"
"5","Netherlands","Alternative & Punk","4","4"
"4","Netherlands","Blues","6","5"
"2","Netherlands","Easy Listening","12","6"
"1","Netherlands","Electronica/Dance","15","7"
"1","Netherlands","Classical","24","8"
"1","Netherlands","Alternative","23","9"
"1","Netherlands","Pop","9","10"
"1","Netherlands","Jazz","2","11"
"40","Norway","Rock","1","1"
"17","Norway","Metal","3","2"
"10","Norway","Alternative & Punk","4","3"
"1","Norway","Electronica/Dance","15","4"
"1","Norway","Jazz","2","5"
"1","Norway","Latin","7","6"
"1","Norway","Alternative","23","7"
"1","Norway","Pop","9","8"
"1","Norway","Blues","6","9"
"40","Poland","Rock","1","1"
"13","Poland","Blues","6","2"
"9","Poland","Metal","3","3"
"4","Poland","Alternative & Punk","4","4"
"3","Poland","Alternative","23","5"
"3","Poland","Jazz","2","6"
"2","Poland","Pop","9","7"
"2","Poland","Classical","24","8"
"1","Poland","Latin","7","9"
"108","Portugal","Rock","1","1"
"28","Portugal","Metal","3","2"
"13","Portugal","Alternative & Punk","4","3"
"9","Portugal","Blues","6","4"
"6","Portugal","R&B/Soul","14","5"
"6","Portugal","Latin","7","6"
"4","Portugal","Jazz","2","7"
"4","Portugal","Alternative","23","8"
"2","Portugal","Classical","24","9"
"2","Portugal","Easy Listening","12","10"
"2","Portugal","Pop","9","11"
"1","Portugal","Hip Hop/Rap","17","12"
"1","Portugal","Heavy Metal","13","13"
"1","Portugal","Reggae","8","14"
"46","Spain","Rock","1","1"
"16","Spain","Jazz","2","2"
"13","Spain","Metal","3","3"
"5","Spain","Alternative & Punk","4","4"
"5","Spain","Latin","7","5"
"4","Spain","Easy Listening","12","6"
"3","Spain","Alternative","23","7"
"3","Spain","R&B/Soul","14","8"
"2","Spain","Classical","24","9"
"1","Spain","Hip Hop/Rap","17","10"
"1","Spain","Reggae","8","11"
"60","Sweden","Rock","1","1"
"7","Sweden","Metal","3","2"
"2","Sweden","Alternative & Punk","4","3"
"2","Sweden","Latin","7","4"
"1","Sweden","Blues","6","5"
"1","Sweden","Reggae","8","6"
"1","Sweden","Soundtrack","10","7"
"1","Sweden","Alternative","23","8"
"1","Sweden","Classical","24","9"
"166","United Kingdom","Rock","1","1"
"31","United Kingdom","Metal","3","2"
"24","United Kingdom","Alternative & Punk","4","3"
"7","United Kingdom","Latin","7","4"
"6","United Kingdom","Classical","24","5"
"4","United Kingdom","Alternative","23","6"
"3","United Kingdom","Jazz","2","7"
"2","United Kingdom","Reggae","8","8"
"2","United Kingdom","R&B/Soul","14","9"
"1","United Kingdom","Electronica/Dance","15","10"
"1","United Kingdom","Pop","9","11"
"1","United Kingdom","Heavy Metal","13","12"
"561","USA","Rock","1","1"
"130","USA","Alternative & Punk","4","2"
"124","USA","Metal","3","3"
"53","USA","R&B/Soul","14","4"
"36","USA","Blues","6","5"
"35","USA","Alternative","23","6"
"22","USA","Pop","9","7"
"22","USA","Latin","7","8"
"20","USA","Hip Hop/Rap","17","9"
"14","USA","Jazz","2","10"
"13","USA","Easy Listening","12","11"
"6","USA","Reggae","8","12"
"5","USA","Electronica/Dance","15","13"
"4","USA","Classical","24","14"
"3","USA","Heavy Metal","13","15"
"2","USA","Soundtrack","10","16"
"1","USA","TV Shows","19","17"
